Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_06902	c6 zinc finger domain-containing protein	"GO:0006357, GO:0008270, GO:0000981, GO:0003677,  GO:0005634"	"regulation of transcription from RNA polymerase II promoter, zinc ion binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, DNA binding,  nucleus"	"P, F, F, F,  C"		"IPR001138 (SMART), IPR007219 (PFAM), IPR001138 (PFAM), IPR001138 (G3DSA:4.10.240.GENE3D), PTHR31944 (PANTHER), IPR001138 (PROSITE_PATTERNS), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"P:GO:0006355, F:GO:0008270, C:GO:0005634, F:GO:0000981, F:GO:0003677,  P:GO:0006351"	"P:regulation of transcription, DNA-templated, F:zinc ion binding, C:nucleus, F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, F:DNA binding, P:transcription, DNA-templated"
FVEG_06994	hypothetical protein FVEG_06994					no IPS match	no IPS match	no IPS match
FVEG_07169	hypothetical protein FVEG_07169	GO:0005525	GTP binding	F		"IPR006689 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D),  IPR027417 (SUPERFAMILY)"	F:GO:0005525	F:GTP binding
FVEG_07171	hypothetical protein FVEG_07171					"SignalP-TM (SIGNALP_EUK),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_07172	heat-stable 19 kda antigen					"IPR010829 (PFAM), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_07191	na(+) h(+) antiporter 2	"GO:0016021, GO:0006812, GO:0055085, GO:0015299,  GO:0006885"	"integral component of membrane, cation transport, transmembrane transport, solute:proton antiporter activity,  regulation of pH"	"C, P, P, F,  P"		"IPR006153 (PFAM), PTHR31382 (PANTHER), PTHR31382:SF1 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0015299, C:GO:0016021, P:GO:0055085,  P:GO:0006812"	"F:solute:proton antiporter activity, C:integral component of membrane, P:transmembrane transport, P:cation transport"
FVEG_07192	protein cap22					"CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  TRANSMEMBRANE (PHOBIUS)"	no GO terms	no GO terms
FVEG_07201	(+)-neomenthol dehydrogenase	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR002347 (PRINTS), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002198 (PFAM), PTHR24316 (PANTHER), PTHR24316:SF272 (PANTHER),  SSF51735 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0016491"	"P:metabolic process, F:oxidoreductase activity"
FVEG_07211	related to methyltransferase					"IPR029063 (G3DSA:3.40.50.GENE3D), PF13489 (PFAM), PTHR10108 (PANTHER), PTHR10108:SF695 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07235	isoflavone reductase family protein					"IPR008030 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR14194 (PANTHER), PTHR14194:SF49 (PANTHER),  SSF51735 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07244	#NAME?					"IPR008030 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), G3DSA:3.90.25.10 (GENE3D), PTHR14194:SF30 (PANTHER), PTHR14194 (PANTHER),  SSF51735 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07246	ab hydrolase superfamily protein	"GO:0008152,  GO:0016787"	"metabolic process,  hydrolase activity"	"P,  F"		"IPR013094 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D), PTHR23024 (PANTHER),  IPR029058 (SUPERFAMILY)"	"F:GO:0016787,  P:GO:0008152"	"F:hydrolase activity, P:metabolic process"
FVEG_07249	six-bladed beta- -like					"IPR011042 (G3DSA:2.120.10.GENE3D), IPR013658 (PFAM), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS),  SSF63829 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07257	alcohol dehydrogenase	"GO:0008270, GO:0004022, GO:0055114,  GO:0048037"	"zinc ion binding, alcohol dehydrogenase (NAD) activity, oxidation-reduction process,  cofactor binding"	"F, F, P,  F"	EC:1.1.1.1	"IPR013149 (PFAM), IPR011032 (G3DSA:3.90.180.GENE3D), IPR013154 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002085 (PANTHER), PTHR11695:SF340 (PANTHER), IPR006140 (PROSITE_PATTERNS), IPR002328 (PROSITE_PATTERNS), IPR011032 (SUPERFAMILY),  SSF51735 (SUPERFAMILY)"	"P:GO:0055114, F:GO:0016491, F:GO:0008270, F:GO:0048037,  F:GO:0016616"	"P:oxidation-reduction process, F:oxidoreductase activity, F:zinc ion binding, F:cofactor binding, F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
FVEG_07261	endo- -beta-xylanase	"GO:0030248, GO:0005576, GO:0031176,  GO:0045493"	"cellulose binding, extracellular region, endo-1,4-beta-xylanase activity,  xylan catabolic process"	"F, C, F,  P"	EC:3.2.1.8	"IPR001137 (PRINTS), IPR013319 (G3DSA:2.60.120.GENE3D), IPR001137 (PFAM), PTHR10587:SF66 (PANTHER), PTHR10587 (PANTHER), IPR018208 (PROSITE_PATTERNS), IPR018208 (PROSITE_PATTERNS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR008985 (SUPERFAMILY)"	"F:GO:0004553,  P:GO:0005975"	"F:hydrolase activity, hydrolyzing O-glycosyl compounds, P:carbohydrate metabolic process"
FVEG_07262	aspartyl-trna synthetase	"GO:0003676, GO:0006422, GO:0005524, GO:0004815, GO:0005737, GO:0006522,  GO:0006531"	"nucleic acid binding, aspartyl-tRNA aminoacylation, ATP binding, aspartate-tRNA ligase activity, cytoplasm, alanine metabolic process,  aspartate metabolic process"	"F, P, F, F, C, P,  P"	EC:6.1.1.12	"IPR002312 (PRINTS), G3DSA:3.30.930.10 (GENE3D), IPR004364 (PFAM), IPR004523 (TIGRFAM), IPR004365 (PFAM), IPR012340 (G3DSA:2.40.50.GENE3D), IPR024320 (PFAM), PTHR22594:SF22 (PANTHER), IPR018150 (PANTHER), IPR006195 (PROSITE_PROFILES), SignalP-TM (SIGNALP_GRAM_POSITIVE), IPR012340 (SUPERFAMILY),  SSF55681 (SUPERFAMILY)"	"F:GO:0004812, P:GO:0006418, F:GO:0005524, F:GO:0000166, P:GO:0006422, C:GO:0005737, F:GO:0004815,  F:GO:0003676"	"F:aminoacyl-tRNA ligase activity, P:tRNA aminoacylation for protein translation, F:ATP binding, F:nucleotide binding, P:aspartyl-tRNA aminoacylation, C:cytoplasm, F:aspartate-tRNA ligase activity, F:nucleic acid binding"
FVEG_07382	malate dehydrogenase					"IPR021851 (PFAM), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  SignalP-noTM (SIGNALP_GRAM_NEGATIVE)"	no GO terms	no GO terms
FVEG_07419	hypothetical protein FVEG_07419	GO:0005515	protein binding	F		"IPR011990 (G3DSA:1.25.40.GENE3D), IPR025676 (PFAM),  SSF48452 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_07431	succinate dehydrogenase cytochrome b mitochondrial	"GO:0000104, GO:0009055, GO:0045281, GO:0006118, GO:0006119, GO:0018874,  GO:0019643"	"succinate dehydrogenase activity, electron carrier activity, succinate dehydrogenase complex, obsolete electron transport, oxidative phosphorylation, benzoate metabolic process,  reductive tricarboxylic acid cycle"	"F, F, C, P, P, P,  P"	EC:1.3.99.1	"IPR014361 (PIRSF), G3DSA:1.20.1300.10 (GENE3D), IPR014314 (TIGRFAM), IPR000701 (PFAM), PTHR10978:SF5 (PANTHER), PTHR10978 (PANTHER), IPR018495 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), SSF81343 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0006099, C:GO:0045281, F:GO:0000104, F:GO:0016627, C:GO:0016020,  F:GO:0009055"	"P:tricarboxylic acid cycle, C:succinate dehydrogenase complex, F:succinate dehydrogenase activity, F:oxidoreductase activity, acting on the CH-CH group of donors, C:membrane, F:electron carrier activity"
FVEG_07439	high-affinity nicotinic acid transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR11662:SF210 (PANTHER), PTHR11662 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_07460	zinc finger protein msn2	"GO:0046872,  GO:0003676"	"metal ion binding,  nucleic acid binding"	"F,  F"		"IPR015880 (SMART), IPR007087 (PFAM), IPR013087 (G3DSA:3.30.160.GENE3D), IPR007087 (PROSITE_PATTERNS), IPR007087 (PROSITE_PROFILES),  SSF57667 (SUPERFAMILY)"	"F:GO:0046872,  F:GO:0003676"	"F:metal ion binding, F:nucleic acid binding"
FVEG_07491	alcohol dehydrogenase	"GO:0008270, GO:0016491,  GO:0055114"	"zinc ion binding, oxidoreductase activity,  oxidation-reduction process"	"F, F,  P"		"IPR013154 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), IPR013149 (PFAM), IPR011032 (G3DSA:3.90.180.GENE3D), IPR002085 (PANTHER), PTHR11695:SF280 (PANTHER), IPR002328 (PROSITE_PATTERNS), SSF51735 (SUPERFAMILY),  IPR011032 (SUPERFAMILY)"	"F:GO:0016491, P:GO:0055114,  F:GO:0008270"	"F:oxidoreductase activity, P:oxidation-reduction process, F:zinc ion binding"
FVEG_07505	hypothetical protein FVEG_07505					Coil (COILS)	no GO terms	no GO terms
FVEG_07529	related to tartrate transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR11662 (PANTHER), PTHR11662:SF199 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_07534	glutathione s-	GO:0005515	protein binding	F		"IPR004045 (PFAM), IPR004046 (PFAM), PTHR12289 (PANTHER), PTHR12289:SF33 (PANTHER),  IPR012336 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_07572	proteinase inhibitor kazal					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_07575	heterokaryon incompatibility protein or allele					"IPR010730 (PFAM), PTHR24148:SF16 (PANTHER),  PTHR24148 (PANTHER)"	no GO terms	no GO terms
FVEG_07580	cytochrome p450	"GO:0020037, GO:0016705, GO:0004497, GO:0005506, GO:0009055, GO:0055114,  GO:0006118"	"heme binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, monooxygenase activity, iron ion binding, electron carrier activity, oxidation-reduction process,  obsolete electron transport"	"F, F, F, F, F, P,  P"		"IPR001128 (PRINTS), IPR002401 (PRINTS), IPR001128 (PFAM), IPR001128 (G3DSA:1.10.630.GENE3D), PTHR24286:SF31 (PANTHER), PTHR24286 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR001128 (SUPERFAMILY), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0005506, F:GO:0020037, F:GO:0016705,  P:GO:0055114"	"F:iron ion binding, F:heme binding, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, P:oxidation-reduction process"
FVEG_07593	hypothetical protein FVEG_07593					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_07616	nfx1-type zinc finger-containing protein 1	"GO:0017111,  GO:0005524"	"nucleoside-triphosphatase activity,  ATP binding"	"F,  F"	EC:3.6.1.15	"Coil (COILS), Coil (COILS), Coil (COILS), Coil (COILS), Coil (COILS), IPR000641 (PRINTS), IPR003593 (SMART), PF13087 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), IPR003959 (PFAM), PF13086 (PFAM), PTHR10887 (PANTHER), PTHR10887:SF323 (PANTHER),  IPR027417 (SUPERFAMILY)"	"F:GO:0005524, F:GO:0000166,  F:GO:0017111"	"F:ATP binding, F:nucleotide binding, F:nucleoside-triphosphatase activity"
FVEG_07622	canalicular multispecific organic anion transporter 2	"GO:0055085, GO:0016021, GO:0042626, GO:0006200,  GO:0005524"	"transmembrane transport, integral component of membrane, ATPase activity, coupled to transmembrane movement of substances, obsolete ATP catabolic process,  ATP binding"	"P, C, F, P,  F"		"IPR003593 (SMART), G3DSA:1.20.1560.10 (GENE3D), IPR003439 (PFAM), IPR001140 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), PTHR24223 (PANTHER), PTHR24223:SF174 (PANTHER), IPR017871 (PROSITE_PATTERNS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR011527 (PROSITE_PROFILES), IPR003439 (PROSITE_PROFILES), IPR027417 (SUPERFAMILY), IPR011527 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0000166, F:GO:0017111, F:GO:0016887, F:GO:0005524, C:GO:0016021, P:GO:0055085, F:GO:0042626,  P:GO:0006810"	"F:nucleotide binding, F:nucleoside-triphosphatase activity, F:ATPase activity, F:ATP binding, C:integral component of membrane, P:transmembrane transport, F:ATPase activity, coupled to transmembrane movement of substances, P:transport"
FVEG_07624	hypothetical protein FVEG_07624					no IPS match	no IPS match	no IPS match
FVEG_07626	hypothetical protein FVEG_07626					"Coil (COILS),  Coil (COILS)"	no GO terms	no GO terms
FVEG_07650	actin-like atpase domain-containing protein					"IPR013126 (PFAM), G3DSA:3.30.420.40 (GENE3D), PTHR19375 (PANTHER), PTHR19375:SF94 (PANTHER),  SSF53067 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07652	glutathione s-transferase 1	GO:0005515	protein binding	F		"IPR010987 (G3DSA:1.20.1050.GENE3D), IPR004045 (PFAM), IPR012336 (G3DSA:3.40.30.GENE3D), IPR004046 (PFAM), PTHR11260:SF77 (PANTHER), PTHR11260 (PANTHER), IPR010987 (PROSITE_PROFILES), IPR004045 (PROSITE_PROFILES), IPR012336 (SUPERFAMILY),  IPR010987 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_07653	leucyl aminopeptidase	"GO:0005576, GO:0006508,  GO:0004177"	"extracellular region, proteolysis,  aminopeptidase activity"	"C, P,  F"	EC:3.4.11	"IPR007484 (PFAM), G3DSA:3.40.630.10 (GENE3D), PTHR12147:SF16 (PANTHER), PTHR12147 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  SSF53187 (SUPERFAMILY)"	"P:GO:0006508,  F:GO:0008233"	"P:proteolysis, F:peptidase activity"
FVEG_07659	hypothetical protein FVEG_07659					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_07660	cupin conserved barrel	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR025979 (PFAM), IPR014710 (G3DSA:2.60.120.GENE3D),  IPR011051 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07664	hypothetical protein FVEG_07664					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_07666	methyltransferase domain-containing protein	"GO:0032259,  GO:0008168"	"methylation,  methyltransferase activity"	"P,  F"		"IPR013216 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108 (PANTHER), PTHR10108:SF710 (PANTHER),  IPR029063 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0008168"	"P:metabolic process, F:methyltransferase activity"
FVEG_07675	hypothetical protein FVEG_07675					"CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_07676	choline transport protein	"GO:0016021, GO:0015171,  GO:0003333"	"integral component of membrane, amino acid transmembrane transporter activity,  amino acid transmembrane transport"	"C, F,  P"		"IPR002293 (PIRSF), IPR002293 (PFAM), IPR002293 (PANTHER), PTHR11785:SF284 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0003333,  F:GO:0015171"	"C:membrane, P:amino acid transmembrane transport, F:amino acid transmembrane transporter activity"
